pack_name,pack_description,pack_front_color,pack_back_color,pack_uuid
Computer Science,4.5 Data Representation,#57e389,#8ff0a4,a152209a-9659-4117-997e-d1dd7ae66931
Physics,3.2 Forces In Action,#ffa348,#ffbe6f,1966ec9d-d5ed-4014-b720-640060a06c22
Computer Science,4.10 Databases,#ed333b,#f66151,b34d2b5b-c7cb-4a93-9652-e1ab0dcecc4a
Computer Science,4.6 Computer Systems,#f8e45c,#f9f06b,11d85a8a-54c4-4e0a-96ec-954494b59dfa
Physics,4.1 Charge & Current,#ed333b,#f66151,661686fa-5bed-4afb-9dc1-9aa3070f16f5
Physics,3.4 Materials,#f8e45c,#f9f06b,dd20100b-3c08-4339-9224-d07e82bb3e0f
Physics,3.3 Work Energy Power,#ff66be,#ff8ecf,74dd6013-4f32-448b-8b47-7739f445ef4e
Computer Science,4.2 Data Structures,#ffa348,#ffbe6f,026fe8a8-97c7-4880-89bf-6e3726c5517a
Physics,3.1 Motion,#62a0ea,#99c1f1,8ed7fccc-0045-4346-96d5-1c672f605a06
Computer Science,4.1 Programming,#b5835a,#cdab8f,dce4765a-33a4-4b3b-a56a-7475c4f34dd1
Physics,"4.2 Energy, Power and Resistance",#57e389,#8ff0a4,6de6c667-1e46-4732-a439-ec0be6f40317
Physics,4.3 Electrical Circuits,#57e389,#8ff0a4,5dd9d08e-dd85-4ded-ba1f-bc92d1abd6b3
Physics,4.4.1/2 Waves 1,#f8e45c,#f9f06b,750ae498-1f4f-4a0b-afba-a65972afb80c
Physics,4.4.3/4 Waves 2,#5e5c64,#77767b,0cb604be-f0b5-4bbc-865a-ed8dbdd5d702
Computer Science,4.3 Algorithms,#ffa348,#ffbe6f,137f3178-6b63-40f7-a4ab-d649be87dd73
Computer Science,4.7 Architecture & Organisation,#99c1f1,#62a0ea,2849b72b-e925-495e-bfa9-64ebc0c5309e
Physics,4.5 Quantum,#c061cb,#dc8add,4a76895d-1f24-49c9-94c0-22beb3912240
Physics,3.5 Motion and Momentum,#ffa348,#ffbe6f,ee97a044-d3a9-40d3-82bc-c69a93ff377b
Mathematics,Statistics,#57e389,#8ff0a4,f446f16d-ef3c-411a-911a-b7fcdd034315
Physics,5.2 Circular Motion,#ed333b,#f66151,2d36719f-5c8a-47c4-ad64-3df7013f029a
Polish,09 2025,#ed333b,#f66151,e8c88d13-6f74-4693-8b52-9d482c390ce4
Physics,6.2 Electric Fields,#57e389,#8ff0a4,132e9a5c-7308-425c-8518-3a54278e354e
Polish,10 2025,#ffa348,#ffbe6f,ae5e7ae7-1146-4328-bbf3-d52ebc5b96ae
Physics,5.4 Gravitational Fields,#62a0ea,#99c1f1,54d007d3-3669-4afd-85b2-ef271a46d77f
Physics,6.1 Capacitors,#f8e45c,#f9f06b,51fc52e8-ff40-4a62-8b11-fa0952a873bc
Computer Science,1.1 Programming,#f6d32d,#f8e45c,adb073dd-94ca-47ce-8bbb-11db85801922
Computer Science,2 - Binary Maths,#62a0ea,#99c1f1,68060015-27cb-46dd-a8b7-8f2d7bfdecb3
Computer Science,3 - Data Structures and Algorithms,#57e389,#8ff0a4,a76eab81-41c0-404e-8508-bc65bb378993
Computer Science,4 - Databases and Relations,#ed333b,#f66151,d92a1a6e-d358-4efc-85cb-fc71e49a41c9
Computer Science,"5 - Storing, Compressing and Communicating Data",#c061cb,#dc8add,8f51ddd0-190d-4f00-a7c3-28c3f2beb7bd
Computer Science,6 - Logic and Logic Gates,#1ce7c3,#a7ecdc,ab7c1598-dda0-4268-9b06-fbeffae31d48
Computer Science,7 - Computer Theories,#ffa348,#ffbe6f,d6036b28-97e3-4106-87a2-e8ea4045313d
