front,back,front_color,back_color,attemps,correct
How does a generator work?,"<ul><li>Spinning a coil will mean the angle is continuously changing</li><li>This provides a constantly changing magnetic flux linkage which means that there is an e.m.f induced</li><li>As the coil approaches parallel to the field, the rate of change is very high, and the maximum e.m.f is induced at minimum flux linkage.</li><li>As the coil approaches perpendicular to the field, the rate of change is very low, producing the minimum induced e.m.f and the maximum flux linkage.</li></ul>",,,2,2
How can you find the direction of a magnetic field produced by a solenoid?,"Right hand rule, fingers represent the direction of the current in the wire, thumb will give the direction of the north pole.",,,2,2
What do the arrows on a magnetic field line represent?,They represent the direction that a north pole would want to face in the field.,,,2,2
What is Lenz's Law?,Lenz's Law - the direction of e.m.f induced in a coil is always such to oppose the magnetic field that induces it.,,,2,2
What is the right hand rule?,"If you curl your fingers and stick out your thumb on your right hand, then your thumb represents the direction of conventional current, and the fingers represent the direction of a magnetic field produced by the wire.",,,2,2
Why is a velocity selector needed in mass spectroscopy?,"Mass spectroscopy measures the radius of the path of particles in a magnetic field. The velocity is affected by both the charge, the mass and the velocity. The charge can be easily predicted, and if we want to find the mass, we need to know the velocity first.",,,2,2
What constitutes a step-up or step-down transformer?,"<ul><li>Step-up = more turns on the secondary coil, increased output p.d.</li><li>Step-down = more turns on the primary coil, decreased output p.d.</li></ul>",,,2,2
What optimisations can be made to a transformer?,"Low resistance windings = less resistance and less power loss.<br>A laminated core will stop eddy currents and reduces current in the core, less power loss.",,,2,2
What is the definition of electromagnetic induction?,Electromagnetic induction is the induction of e.m.f by changing magnetic flux linkage in the presence of a conductor.,,,2,1
What happens to the path of a particle in a magnetic field if:<br><ul><li>Speed is increased.</li><li>Charge is increased.</li></ul>,If speed is increased → radius of path will increase.<br>If charge is increased → radius of path will decrease.,,,2,2
How can energy be conserved when a magnet falls through a tube? It produces an e.m.f out of nowhere?,"When the magnet falls downwards, it induces a current in the coil due to changing magnetic field.<br>The current causes the coil to produce its own magnetic field and act as a solenoid.<br>The magnetic field will always act to oppose the falling magnet (Lenz's Law).<br>This causes the magnet to lose kinetic energy and convert to electrical energy → energy is NOT lost.",,,2,2
What are some rules of drawing magnetic field diagrams?,<ul><li>Arrows point from north to south.</li><li>Lines should not cross.</li><li>Lines should meet the source of magnetism at a right angle.</li></ul>,,,2,2
What is the definition of a magnetic field?,An area in which a magnetic object will experience a force at a distance.,,,2,2
What kind of path will charged particles make when moving in a magnetic field?,"They will move with circular motion, as the force is always perpendicular to the direction of travel. (hence no work is done)",,,2,2
What is the equation to find the force on a wire due to a magnetic field?,"F = BILsinθ<br>F = force, B = flux density, I = current, L = length of wire in field, θ = angle of wire",,,2,2
What is the definition of magnetic flux?,Magnetic flux is the product of an area and the component of magnetic flux density perpendicular to the area that is passing through the area.,,,2,2
How does a velocity selector work?,"A velocity selector makes particles move through a magnetic field and an electric field which push the particle in opposite directions.<br>F = EQ = BQv, hence E = Bv, v = E/B.<br>If the forces balance, the particle will go straight, and that only happens at this one velocity.",,,2,2
What is the difference between magnetic flux density and magnetic flux?,"Magnetic flux is a property of a coil inside a magnetic field as it depends on the size of the coil. By contrast, magnetic flux density measures the strength of the field itself.",,,2,2
How can you experimentally determine the magnetic flux density of a magnetic field?,"<ul><li>Use a contraption to hold two magnets opposite each other to produce a uniform field.</li><li>Place a wire perpendicular to the field through the center.</li><li>Measure the width of the magnet to get the length of the wire in the field.</li><li>Set up on a mass balance so you can record the force produced.</li><li>F=BIL → mg=BIL → m = BL/g * I.</li><li>Plot a graph of mass against current, this will give a gradient equal to BL/g, then multiply by g/L to get the flux density.</li></ul>",,,2,2
What are the equations for transformers?,<ol><li>Ns/Np = Vs/Vp aka ratio of turns = ratio of voltages</li><li>Ip/Is = Vs/Vp aka in an ideal transformer the ratio of currents is equal to one over the ratio of voltages.</li></ol>,,,2,2
What are the units of magnetic flux?,Magnetic flux is measured in Weber (Wb).,,,2,2
What will happen to a charged particle moving in a magnetic field?,"The particle will experience a force according to fleming's left hand rule. (remember that current = conventional current, so the direction of positive charge).",,,2,2
How does a transformer work?,"<ol><li>Alternating current on primary coil induces an alternating magnetic field.</li><li>Iron core is permeable, and allows the magnetic field to reach the secondary coil.</li><li>Changing magnetic field = changing flux linkage = induced e.m.f in the secondary coil.</li><li>Different number of turns of coils will lead to different input and output voltages.</li></ol>",,,2,2
What is the definition of magnetic flux linkage?,Magnetic flux linkage is the product of magnetic flux and the number of turns of a coil which has this magnetic flux.,,,2,2
What is Faraday's Law?,Faraday's Law - the magnitude of e.m.f induced in a coil is directly proportional to the rate of change of flux linkage.,,,2,2
"What happens when you place a current carrying conductor in a magnetic field, what is this called?","When a current carrying conductor is in a magnetic field, the magnetic fields will oppose and produce a force as predicted by Fleming's left hand rule. This is known as the motor effect.",,,2,2
How can you create a magnetic field?,"A magnetic field can be created by a moving charged particle, or by permanent magnets.",,,2,2
How can you find the radius of the path of a charged particle in a magnetic field?,F = BQv = mv²/r (circular motion)<br>r = (mv)/(BQ)<br>,,,2,2
What is the equation for force on a charged particle moving in a magnetic field?,"F = BQv<br>F = force, B = magnetic flux density, Q = charge, v = velocity.",,,2,2
What things can you change to induce an e.m.f on a coil?,You can change:<br><ul><li>The flux density</li><li>The area of the coil</li><li>The angle of the coil in the field</li></ul>,,,2,2
What is a transformer?,A transformer is a device to convert alternating voltages to higher or lower values.,,,2,2
What does it mean if magnetic field lines are evenly spaced and parallel?,It means the field is uniform.,,,2,2
What is the definition of magnetic flux density?,Magnetic flux density is the the flux density required to produce a force of 1 newton on a wire perpendicular to a field of length 1 meter when a current of 1 amp is flowing through it.,,,2,2
How is a transformer made?,<ul><li>Iron core - laminated / made of layers of iron to stop eddy currents.</li><li>Either side of the core is a coil.</li><li>Input AC voltage on the primary coil.</li><li>Output AC voltage on the secondary coil.</li></ul>,,,2,2
What is the circuit symbol for a transformer?,Looks like two thumbless fists punching either side of a wall.,,,2,2
What makes a transformer ideal?,"If a transformer has the same output power from the secondary coil as inputted to the primary coil, it is considered ideal.",,,2,2
