front,back,front_color,back_color,attemps,correct
After same patience.,"... deserves that same patience.<br>Because if we do get fusion working. If we can master the power that fuels the stars<br>We would have clean, limitless energy source for generations.<br>Imagine the impact that would have, affordable electricity for every country, no dependence on fossil fuels, no carbon emissions.",,,4,3
After instincts.,"... not logical. lets look at what nuclear is<br>Nuclear energy works by harvesting energy from atoms.<br>An atom can be thought of as a nucleus with orbiting electrons.<br>Made of protons and neutrons, held together by the strong nuclear force - one of four fundamental forces in the universe.",,,4,3
After releases enormous energy.,"... releases an enormous amount of energy.<br>Whats so exciting about fusion is that it fixes almost every problem fission has.<br>There's no long lived nuclear waste. There's no risk of meltdown. Its powered by hydrogen which is much more abundant than uranium or plutonium. And if something goes wrong, the reaction just stops.",,,4,1
After nuclear bound to cause destruction.,"... all things nuclear bound to cause destruction.<br>However, this is simply not the case.<br>The technology that failed in 1986 isn't the technology that we use today.<br>We don't judge the safety of modern cars by looking at ones from the 1940s.<br>In fact, the Chernobyl design wouldn't even be legal now.<br>The systems we use today are built with redundancy on top of redundancy - automatic shutdowns, passive cooling, containment domes.<br>And they've been running safely in many countries for decades.",,,4,1
After riskier than alternative.,"... is it riskier than the alternative?<br>Every year, burning fossil fuels kills millions through air pollution and contributes massively to climate change.<br>Yet that's invisible, its spread out, and somehow easier to ignore.",,,4,3
After human perception.,"... car accidents.<br>And when it comes to nuclear, we always focus on the worst possible scenario.<br>Meltdown, radiation, catastrophe.<br>Ignore the average case.<br>Clean, zero carbon energy source thats been running for decades.",,,4,3
Opening.,"If I were to say the word ""nuclear""<br>First thing that comes to mind<br>Glowing green sludge, radiation poisoning, explosions, barren post-apocalyptic wasteland.<br>",,,4,4
"After ""splitting the atom"".","... hence ""splitting the atom"".<br>This process is known as fission, and is the basis of how a nuclear power plant operates.<br>The released energy is used to boil water and create steam, which goes on to spin a turbine and produce electricity.",,,4,4
After what atom is.,"... fundamental forces of the universe.<br>For smaller atoms such as hydrogen or helium, this force is incredibly stable.<br>However, for larger atoms the force is no longer strong enough to hold the atom together.<br>A tiny nudge can be enough to unsettle the nucleus and cause it to split in half, releasing some of the stored energy, hence ""splitting the atom"".",,,4,4
After greener future.,"... towards a greener future.<br>Because while we keep improving renewables like solar and wind, we still need something stable that doesn't depend on the weather.<br>Nuclear fission fills that role beautifully until the next chapter of nuclear energy arrives.<br>And that next chapter is fusion.",,,4,4
