front,back,front_color,back_color,attemps,correct
What is run-length encoding?,"A type of lossless compression where repeated occurrences of the same data (like several pixels of the same color) are stored as a single data value, along with a count of occurrences.",,,3,3
What is a 'check digit'?,A method of checking codes for errors during data transmission by adding an extra digit to the end (usually calculated/processed from the digits in the data itself) that checks whether the data is accurate.,,,3,2
What makes a caesar cipher insecure?,"<ul><li>Each plaintext letter is converted to the same ciphertext letter</li><li>Frequency analysis can be used to determine original message</li><li>There are only 26 mappings for the cipher, brute force attack is trivial</li></ul>",,,3,1
What is a checksum?,"A checksum is a value calculated via an algorithm from the data in a file, and is usually appended to the end of the file. If the receiver re calculates the checksum, and they do not match, then an error has occurred during transmission.",,,2,1
What is the definition of a pixel?,A pixel is a 'picture element'. It is the smallest addressable element of a picture.,,,3,3
How does an ADC (analog-digital converter) work?,<ul><li>The ADC takes samples of the analog SIGNAL at regular intervals.</li><li>The amplitude of each SAMPLE is measured.</li><li>Each SAMPLE is encoded as a binary value.</li></ul>,,,1,1
What is encryption?,The process of converting data (plaintext) into a form which cannot be understood (ciphertext) using an encryption algorithm (cipher). The ciphertext can be decrypted using a key and understood by the intended recipient.,,,3,3
What are parity bits?,"Parity bits are based on the principle that every byte or other chunk of data should have either an odd (odd parity) or even (even parity) number of 1s in the bit pattern. The parity bit is set based on the number of 1s in the data. If the number of 1s is found to be odd, with an even parity, then you know that something fucked up.",,,2,2
What is ASCII? What does it mean and how does it work?,"It is the ""American Standard Code for Information Exchange"". It uses 7 bits to represent the most common characters in the English language. The first 32 codes, plus the last code are used as control characters.",,,2,2
What is metadata?,Data about data - stores properties and extra information outside of the main intention of the file.,,,3,3
What is dictionary-based coding?,A type of lossless compression where text is searched for entries that match the entries in a dictionary. Entries are substituted by a code which can be translated.,,,3,3
What is majority voting?,Majority voting is when each bit is transmitted an odd number of times (usually 3) and then the most common bit is used as the value of that bit. An odd number is used as otherwise the real bit can still be ambiguous.,,,2,2
What are the advantages and disadvantages of vector graphics?,"Advantages:- less storage space- can be scaled without distortion- can manipulate individual objects in an imageDisadvantages:- Only useful for images made of geometric shapes- Unsuitable if each pixel needs to be a different colour, e.g in photographs- Can take longer to render for complex images",,,3,2
What makes a vernam cipher 'perfectly secure'?,"<ul><li>The ciphertext contains no useful information about the plaintext</li><li>Each letter can be mapped differently each time in the ciphertext</li><li>Brute force will only reveal every possible plaintext</li><li>All ciphertext letters have equal probability, so frequency analysis does not work</li></ul>",,,3,1
What are some examples of analogue and digital signals?,Analogue Signals:<ul><li>Sound Waves</li><li>Radio Waves</li><li>Thermometer Readings</li><li>Vinyl Records</li><li>Film Camera</li><li>WiFi - uses Radio Waves</li></ul>Digital Signals:<ul><li>MP3 Sound Files</li><li>Digital Clock</li><li>Digital Camera</li><li>Fibre Optic Cables</li></ul>,,,3,1
What are the advantages of using majority voting over parity bits?,"<ul><li>Parity bits can only identify errors, whereas majority voting can both identify and correct errors.</li><li>Majority voting can detect multiple bit errors, whereas parity bits only detect errors within a byte.</li><li>Majority voting is more likely to catch errors, as if an even number of errors occur within a byte, the parity bits will not detect it.</li></ul>",,,2,2
What are 'Parity Bits'?,"A method for checking binary data for errors during transmission by counting the number of ones and zeroes present, and checking if it is even or odd.",,,3,2
What is the difference between lossy and lossless compression?,"Lossless compression retains all of the data in the original file, by rearranging and storing the data in a more efficient way.Lossy compression removes data that is deemed unnecessary in order to reduce the file size, meaning the original file cannot be reconstructed.",,,3,3
What are some properties an svg object can have?,<ul><li>Object type</li><li>Fill colour</li><li>Edge colour</li><li><b>NOT JUST COLOUR</b></li><li>Line width</li><li>Line pattern</li><li>Fill pattern</li></ul>,,,3,3
What is the Nyquist Theorem?,A sufficiently accurate waveform of an analogue signal would require a sampling rate of at least twice the highest frequency that appears in the original analogue signal.,,,3,3
What is MIDI?,Musical Instrument Digital Interface,,,3,3
What is a Caesar Cipher?,A substitution cipher where each character of text is shifted by a fixed number of characters up the alphabet.,,,3,3
What is 'Majority Voting'?,"A method of checking binary data for errors by sending each bit multiple times, in a set. The receiver takes the value with the most occurrences in a set as the value for that bit.",,,3,3
What is Unicode? Why was it created?,"Unicode was created as another way of encoding characters. It comes in forms such as UTF-8, UTF-16 and UTF-32, with the number denoting the number of bits per character. Unicode was created to replace ASCII, which only has 95 symbols, as it allows other languages to be represented. Unicode allows for many billions of characters to be supported, allowing foreign languages such as Mandarin and Japanese.",,,2,2
How do you convert from analogue to digital and vice versa?,"<ul><li>Use an analogue to digital converter (ADC) to convert continuous analogue signals into digital.</li><li>Use a digital to analogue converter (DAC) to convert digital signals into continuous analogue signals, by guesstimating between digital values.</li></ul>",,,3,3
What is a Vernam Cipher?,"A cipher that uses a one-time pad with the same length as the message. A one time pad should be:- never re-used- disposed of securely- be truly random- transferred securely, independently of the messageEach character is XORed with the corresponding character in the one-time pad. Then, you can XOR the ciphertext with the one-time pad to get back the plaintext.",,,3,3
What kinds of things can be included in image metadata?,<ul><li>Date or time</li><li>Exposure / aperture</li><li>Thumbnail</li><li>Copyright information</li></ul>,,,3,3
What is a check digit?,"A check digit is a digit placed at the end of a long number such as a PESEL. Checking the number often involves modulo operations, so that the number mod x = 0, indicating that the number is valid.",,,2,2
How does a DAC (digital to analog converter) work?,<ul><li>The DAC receives a signal made of discrete binary numbers.</li><li>The DAC interpolates between each discrete value of the input signal over the amount of time between values.</li><li>The DAC uses this to produce a continuous analog output signal.</li></ul>,,,1,1
front,back,front_color,back_color,attemps,correct
What is the difference between passive RFID and active RFID?,"<ul><li>Passive RFID requires an external radio signal to be emitted from a reader. The signal induces a current in the transponder, which transmits a stored code.</li><li>Active RFID contains a power source which constantly powers the transponder. The stored code is always being transmitted, meaning that the RFID device does not need to be close to the receiver to be detected.</li></ul>",,,1,1
What are the advantages and disadvantages of using active RFID instead of passive RFID?,"Advantages:<br><ol><li>Can be received from further away.</li><li>Does not need to physically touch a reader to be detected.</li><li>A reader can simultaneously detect several active RFID devices.</li></ol><br>Disadvantages:<br><ol><li>Has a limited battery life and can run out of charge.</li><li>More complex design, more parts needed (more cost, less reliable)</li><li>Less secure.</li></ol>",,,1,1
What are some of the reasons that an RFID device/system could be chosen for use?,"<ul><li>Small, lightweight device (e.g. can fit in a card)</li><li>Cheap to set up and use.</li><li>Durable.</li><li>(for passive RFID) Powerless/no batteries.</li><li>Quick for a computer to read.</li><li>Has a (small) internal storage.</li><li>Has contactless access.</li></ul>",,,0,0
"What is a barcode, and what are some of its features?","A barcode is a printed diagram of light and dark strips, containing some information.<br>They have three ""guard bars"" mark the start, middle and end of the barcode.<br>Barcodes also typically have a checksum/parity bit to detect for errors while reading.",,,0,0
What are the two different formats of barcodes? Why is one form rarely used?,Barcodes can either be 1D (a series of lines) or 2D (a grid of rectangles).<br>QR codes are normally used in place of 2D barcodes.,,,0,0
How does a barcode reader work?,"<ul><li>Emits light out of the reader towards the barcode.</li><li>Light reflects into a mirror -> sensor receives the reflected light.</li><li>Reflected light is converted to an electrical signal by the sensor.</li><li>ADC converter decodes the signal into a binary representation, which can be used by computers.</li></ul>",,,0,0
What are some properties of barcodes/barcode scanners that would need to be considered when deciding whether to use them?,<ul><li>Fast to scan (scans 1000s of times per second).</li><li>Affordable (uses printed stickers).</li><li>Requires a direct line of sight to the barcode to read it.</li><li>Barcode stops working if obscured / torn.</li></ul>,,,0,0
What are the steps a digital camera goes through to take a picture?,<ol><li>Shutter will open for a short period of time.</li><li>Lens will focus light that enters camera onto the sensor.</li><li>Sensor will convert received light into a series of electrical signals based on brightness.</li><li>ADC converts electrical signal into binary.</li><li>Grouped into RGB arrays to represent as a bitmap image.</li></ol>,,,0,0
What are the two types of sensors in digital cameras?,"<ul><li>CMOS - complementary metal oxide semiconductor (modern, found in 99% of cameras)</li><li>CCD - charge coupled device (old, found in outdated cameras and in specialised equipment)</li></ul>",,,0,0
How are camera sensors set up?,"<ul><li>Array/grid of light sensors, one for each pixel in the image.</li><li>Light filter in front of each sensor - Bayer filter. Ensures each sensor only gets either red, green or blue light.</li><li>A Bayer filter has 2x as many green pixels as red or blue pixels, as this mimics how human eyes are more sensitive to green light.</li></ul>",,,0,0
What is the definition of a barcode?,A printed diagram that consists of light and dark portions.,,,0,0
What is a common type of 2D barcode?<br>What are the advantages and disadvantages of using a 2D barcode over a 1D one?,A common kind of 2D barcode is a QR code.<ul><li>Pro - a 2D barcode can store more data in the same space.</li><li>Con - Damage is more likely to prevent the barcode being read.</li><li>Con - more processing required to understand the stored data.</li></ul>,,,0,0
What are the properties of a 1D barcode?,"<ul><li>Black and white bars, corresponding to binary 0s and 1s.</li><li>Guard bars at the ends and middle of the code to provide a reference point for the scanner.</li><li>Parity bits / check bits for error detection when scanning.</li><li>A barcode can be read upside down.</li></ul>",,,0,0
How does a barcode scanner work?,"<ul><li>Laser scans over the barcode.</li><li>Dark portions absorb light, light portions reflect it.</li><li>Any reflected light hits a mirror which redirects it through a lens.</li><li>Lens focuses light onto a photodiode.</li><li>Photodiode produces an electrical signal which can be converted to binary by ADC → this is the code.</li></ul>",,,0,0
What are the two main types of camera sensor?,CMOS - complementary metal oxide semiconductor.<br>CCD - charge-coupled device.,,,0,0
