front,back,front_color,back_color,attemps,correct
What is the cardinality of a set?,The cardinality of a set is the number of elements it has. Only finite sets have a cardinality.,,,3,3
What is symmetric difference of a set?,The symmetric difference of a set is all elements of both sets except the elements that appear in both. It is written as (A \ B) ∨ (B \ A).,,,3,3
What are the set symbols for:<ul><li>Union</li><li>Intersection</li><li>Difference</li></ul>And what does each mean?,<ul><li>Union - ∨ - where A ∨ B is the set containing elements that appear in either one of the sets.</li><li>Intersection - ∧ - where A ∧ B is the set containing the elements the sets have in common.</li><li>Difference - \ - where A \ B is the set of A where any items that also appear in B are removed.</li></ul>,,,2,2
What is the definition of a tractable and an intractable problem?,A tractable problem is one that *can be solved* using an algorithm that has a polynomial time complexity or better.<br>An intractable problem is one that *can be solved* with an algorithm of exponential time complexity or worse.,,,3,3
What different symbols are used in Backus-Naur form?,"<ul><li>&lt &gt - anything surrounded by these is a non-terminal symbol.</li><li>::= - used to create a production rule.</li><li>| - the 'or' symbol, either everything to the left of it or everything to the right of it, until you hit another |.</li></ul>",,,3,3
How do you convert the expression:<br>4 * 2 + 6 - 3<br>Into RPN?,"Bracket up according to BIDMAS, then slowly create the expression by rewriting every ""a.b"" as ""ab.""<ul style=""list-style-type:none""><li>4 * 2 + 6 - 3</li><li>(((4 * 2) + 6) - 3)</li><li>((42*) + 6) - 3)</li><li>((42*6+) - 3)</li><li>42*6+3-</li></ul>",,,3,3
What is the definition of a computable problem?,A problem can be defined as computable if there is an algorithm that can solve every instance of this problem in a finite number of steps.,,,3,3
What are each of these common sets:<ul><li>ℕ</li><li>ℤ</li><li>ℤ+</li><li>ℤ0+</li><li>ℚ</li><li>ℝ</li><li>𝕀</li><li>ℂ</li><li>∅</li></ul>,<ul><li>ℕ - natural numbers</li><li>ℤ - integers</li><li>ℤ+ - positive integers</li><li>ℤ0+ - positive integers and 0</li><li>ℚ - rational numbers</li><li>ℝ - irrational numbers</li><li>𝕀 - imaginary numbers</li><li>ℂ - complex numbers</li><li>∅ - empty set</li></ul>,,,3,3
What's the difference between a subset and a proper subset?,A set is a subset of itself but not a proper subset of itself.,,,1,1
What is the difference between a terminal and non-terminal symbol in Backus-Naur?,A terminal symbol is one that is made of actual strings. A non-terminal symbol contains other non-terminal symbols that can be broken down further.,,,3,3
